Symbol,Gap(%),Price,Volume,Relative Volume(Daily Rate),Relative Volume(5 min %),Change From Close(%),Float,Short Interest
IMTX,-1.29,12.14,1820000.0,5.92,2298.21,11.99,56740000.0,5700000.0
TENX,0.00,15.42,53160.0,3.17,288.22,11.9,292310.0,24550.0
AVIR,1.61,3.46,1300000.0,4.25,1036.79,11.77,65410000.0,3520000.0
AYI,5.67,227.93,1160000.0,4.85,1540.83,11.45,30610000.0,2430000.0
MICS,1.78,1.04,4440.0,0.21,9.36,11.41,1200000.0,62750.0
SYRS,0.00,7.68,262880.0,0.81,284.2,11.3,18870000.0,491830.0
EPIX,0.63,7.05,153600.0,2.27,392.42,11.2,27150000.0,1360000.0
ARDX,-0.12,9.1,21370000.0,3.38,554.16,11.19,219370000.0,38120000.0
CATX,10.17,0.66,2390000.0,1.18,244.36,11.02,203390000.0,1810000.0
SIDU,2.48,16.99,2069999.9999999998,0.68,36.54,10.9,777520.0,3040000.0
CACO,-2.07,0.51,9220.0,0.39,9.44,10.83,6630000.0,51940.0
ADAG,3.04,2.91,238820.0,4.41,610.97,10.65,31600000.0,32810.0
OMER,-0.56,3.95,940330.0,1.28,528.53,10.64,56010000.0,12880000.0
VKTX,-1.18,21.55,5520000.0,3.27,966.35,10.63,95630000.0,14600000.0
GPCR,-0.68,49.12,1110000.0,0.59,199.97,10.54,78200000.0,3370000.0
QSG,8.50,2.21,851880.0,2.77,205.21,10.5,28210000.0,93660.0
WRAP,6.95,3.1,3160000.0,9.03,966.32,10.49,30460000.0,3750000.0
MCVT,6.69,2.97,11260.0,2.54,301.79,10.41,1870000.0,14240.0
NVNI,-4.29,1.93,41320.0,2.43,1184.74,10.37,0.0,0.0
TARA,12.27,2.43,206170.0,3.1,499.33,10.33,5740000.0,49630.0
ANTX,-0.46,21.5,112670.0,1.17,582.55,10.31,12110000.0,282100.0
ENGN,-0.68,8.16,7270.0,0.47,246.11,10.27,23070000.0,0.0
NTWK,3.24,2.38,74540.0,8.88,289.41,10.19,10040000.0,29600.0
PTGX,-1.26,25.36,946600.0,2.05,1233.3,10.17,37060000.0,1740000.0
XBIT,-0.74,4.46,38230.0,1.99,461.34,10.12,17870000.0,341540.0
ZKIN,15.80,0.88,191750.0,1.43,121.21,10.02,19870000.0,67340.0
SGMO,1.01,0.57,2180000.0,1.34,336.66,9.95,172030000.0,9210000.0
NN,1.51,5.09,2160000.0,5.0,3372.08,9.94,50840000.0,5430000.0
PRFX,1.54,2.86,56640.0,1.24,261.3,9.92,681790.0,6910.0
LOOP,0.41,4.0,29180.0,1.19,260.58,9.89,24000000.0,2680000.0
OFIX,5.34,14.6,716960.0,0.84,331.24,9.86,35030000.0,4710000.0
MULN,-2.07,14.32,1260000.0,0.33,50.12,9.85,1580000.0,27730000.0
IINN,-3.53,0.93,176480.0,0.06,8.98,9.75,8340000.0,8160.0
