Symbol,Gap(%),Price,Volume,Relative Volume(Daily Rate),Relative Volume(5 min %),Change From Close(%),Float,Short Interest
ZCAR,-6.30,6.39,9390000.0,4.42,1047.83,60.96,2710000.0,1580.0
MCAFU,0.00,24.97,16550.0,13.45,13.33,60.58,5200000.0,30.0
SNTG,113.62,3.4,27990000.0,8.21,442.24,59.62,1060000.0,16770.0
NEXI,7.27,11.78,16840000.0,3.33,229.14,55.61,612650.0,35680.0
MCAF,-10.90,21.48,194170.0,15.04,1497.14,48.14,3310000.0,1560.0
ACET,2.44,3.46,7130000.0,9.85,928.9,40.65,29410000.0,3030000.0
SLDB,-1.68,8.04,1160000.0,3.03,699.69,35.13,9130000.0,21470.0
CUTR,9.42,4.43,36410000.0,37.58,1730.09,34.65,13980000.0,5270000.0
BTBD,55.50,2.54,9410000.0,1734.79,57482.84,33.89,3080000.0,1250.0
LDTC,-1.49,4.49,494030.0,2.46,586.28,33.88,28770000.0,63780.0
CLVR,3.80,3.5,67270.0,4.62,4381.6,33.08,1410000.0,13550.0
ACCD,11.88,14.99,4270000.0,7.36,2386.92,29.0,64420000.0,2830000.0
YCBD,0.00,0.93,478370.0,0.17,8.5,27.89,2470000.0,187090.0
GRTS,-1.94,2.62,4450000.0,3.52,768.57,27.18,81160000.0,8700000.0
SEEL,1.40,1.79,1530000.0,4.13,2243.84,25.17,5240000.0,859250.0
PRAX,2.54,39.27,746230.0,5.56,1666.14,24.86,5540000.0,235450.0
BARK,9.05,0.96,6810000.0,6.64,1126.42,24.53,119390000.0,12870000.0
LAES,3.08,1.62,5120000.0,1.04,123.51,24.42,1410000.0,88010.0
FBYDW,14.29,0.87,60620.0,2.0,189.0,24.29,0.0,0.0
IMTXW,14.15,3.86,7880.0,1.8,0.0,24.12,56740000.0,2720.0
APRE,1.98,6.22,40560.0,2.8,587.55,23.17,2960000.0,117570.0
JNPR,20.32,36.81,29470000.0,15.6,3675.04,21.81,279490000.0,9830000.0
GLUE,-1.74,7.69,434150.0,1.89,1405.75,21.72,30600000.0,2360000.0
VNCE,0.00,4.2,64870.00000000001,0.69,114.21,20.34,2370000.0,31130.0
MRSN,-2.97,3.22,4920000.0,4.18,993.3,19.7,79790000.0,11870000.0
RENT,-2.17,0.67,7850000.0,8.08,313.92,18.59,45380000.0,7570000.0
CING,5.44,7.41,986440.0,0.19,7.61,18.56,822490.0,10570.0
JWEL,12.32,2.2,4830.0,1.3,551.77,18.24,1790000.0,9580.0
RBOT,0.16,0.51,860100.0,0.99,169.76,18.1,89060000.0,3180000.0
WGS,3.63,4.55,933550.0,2.79,601.84,17.88,18610000.0,626600.0
NUKK,15.90,2.44,1210000.0,4.99,1476.23,17.83,2069999.9999999998,715.0
ALRN,0.00,3.9,83840.0,0.6,188.9,17.82,4380000.0,77220.0
CLPT,10.94,7.43,385600.0,4.25,1155.31,17.75,18870000.0,1450000.0
PIXY,-1.52,6.97,123620.0,2.14,453.56,17.74,5200000.0,200870.0
VIRI,2.08,0.69,874140.0,5.66,239.42,17.4,15930000.0,253350.0
ALAR,3.35,10.83,631620.0,2.23,276.42,17.08,3160000.0,29830.0
SRPT,5.17,119.93,4670000.0,5.33,3264.01,16.88,86620000.0,3750000.0
ENSC,0.89,1.3,990480.0,15.42,2320.41,16.08,2760000.0,67840.0
INO,2.70,0.86,13770000.0,2.87,357.31,15.91,267529999.99999997,25950000.0
AUVI,0.44,2.64,381350.0,0.16,15.86,15.79,539280.0,78370.0
FGEN,2.48,0.91,1000000.0,0.67,213.09,15.62,95990000.0,14410000.0
RENB,-0.77,4.47,159840.0,1.93,663.3,15.21,29710000.0,440580.0
POL,-5.50,9.63,2130000.0,0.17,23.36,15.05,1960000.0,181900.0
STRO,-0.86,4.03,1940000.0,2.06,654.68,15.0,44500000.0,2069999.9999999998
PMN,10.20,1.69,41820.0,0.94,89.64,14.97,13430000.0,16210.0
PRCT,1.82,48.51,1810000.0,5.1,1892.84,14.93,40600000.0,4700000.0
KALA,4.29,8.15,140810.0,4.49,1008.86,14.62,2130000.0,73450.0
EKSO,0.00,2.98,183950.0,0.84,101.06,14.62,12380000.0,97920.0
CDIO,-0.40,2.87,3640000.0,1.04,154.24,14.35,16640000.0,1070000.0
EVA,2.86,0.91,1830000.0,1.23,169.46,14.24,38700000.0,8270000.0
HUGE,4.49,1.01,191840.0,2.5,882.55,14.04,33450000.000000004,470380.0
ACMR,4.87,19.42,2320000.0,3.77,898.23,14.03,43460000.0,3240000.0
OPRX,17.29,15.21,297920.0,1.82,394.14,13.85,17350000.0,957230.0
CLRB,2.50,3.64,5010000.0,1.77,294.77,13.75,6460000.0,800110.0
MXCT,8.50,5.21,1970000.0,2.71,482.61,13.62,88140000.0,4000000.0
AEZS,1.04,2.18,76590.0,6.13,3100.64,13.54,4860000.0,37530.0
DRIO,0.00,1.95,163240.0,2.39,219.34,13.37,21470000.0,934870.0
UP,2.82,4.82,1380000.0,0.5,58.16,13.29,10890000.0,3280000.0
MTC,-6.31,2.33,1300000.0,1.36,56.25,13.11,81740000.0,289930.0
TEDU,0.00,1.13,40780.0,2.46,55.13,13.0,7100000.0,24890.0
LLAP,3.01,1.02,7530000.0,1.57,289.89,12.84,123420000.0,8940000.0
INAB,2.67,1.69,387890.0,0.91,99.5,12.8,21430000.0,27610.0
BNED,-0.50,2.25,1140000.0,1.84,481.28,12.5,31000000.0,931970.0
GALT,1.18,1.9,49230.0,0.67,172.19,12.43,42530000.0,2130000.0
PRTA,-3.40,39.6,2930000.0,3.47,1396.78,12.24,38530000.0,6850000.0
XCUR,3.45,0.63,225430.0,1.4,3466.45,12.12,5170000.0,340670.0
APLD,0.40,8.51,5520000.0,1.92,474.6,12.12,81110000.0,14340000.0
